Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","128","China, Macao SAR","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2484","F","FAO estimate",""
"FS","Suite of Food Security Indicators","128","China, Macao SAR","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2453","F","FAO estimate",""
"FS","Suite of Food Security Indicators","41","China, mainland","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2448","F","FAO estimate",""
"FS","Suite of Food Security Indicators","41","China, mainland","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2442","F","FAO estimate",""
"FS","Suite of Food Security Indicators","214","China, Taiwan Province of","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2481","F","FAO estimate",""
"FS","Suite of Food Security Indicators","214","China, Taiwan Province of","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2471","F","FAO estimate",""
"FS","Suite of Food Security Indicators","44","Colombia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2341","F","FAO estimate",""
"FS","Suite of Food Security Indicators","44","Colombia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2353","F","FAO estimate",""
"FS","Suite of Food Security Indicators","45","Comoros","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2219","F","FAO estimate",""
"FS","Suite of Food Security Indicators","45","Comoros","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2229","F","FAO estimate",""
"FS","Suite of Food Security Indicators","46","Congo","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2209","F","FAO estimate",""
"FS","Suite of Food Security Indicators","46","Congo","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2221","F","FAO estimate",""
"FS","Suite of Food Security Indicators","48","Costa Rica","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2435","F","FAO estimate",""
"FS","Suite of Food Security Indicators","48","Costa Rica","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2439","F","FAO estimate",""
"FS","Suite of Food Security Indicators","107","Côte d'Ivoire","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2207","F","FAO estimate",""
"FS","Suite of Food Security Indicators","107","Côte d'Ivoire","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2214","F","FAO estimate",""
"FS","Suite of Food Security Indicators","98","Croatia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2491","F","FAO estimate",""
"FS","Suite of Food Security Indicators","98","Croatia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2488","F","FAO estimate",""
"FS","Suite of Food Security Indicators","49","Cuba","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2442","F","FAO estimate",""
"FS","Suite of Food Security Indicators","49","Cuba","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2443","F","FAO estimate",""
"FS","Suite of Food Security Indicators","50","Cyprus","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2536","F","FAO estimate",""
"FS","Suite of Food Security Indicators","50","Cyprus","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2532","F","FAO estimate",""
"FS","Suite of Food Security Indicators","167","Czechia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2537","F","FAO estimate",""
"FS","Suite of Food Security Indicators","167","Czechia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2529","F","FAO estimate",""
"FS","Suite of Food Security Indicators","116","Democratic People's Republic of Korea","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2402","F","FAO estimate",""
"FS","Suite of Food Security Indicators","116","Democratic People's Republic of Korea","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2403","F","FAO estimate",""
"FS","Suite of Food Security Indicators","250","Democratic Republic of the Congo","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2104","F","FAO estimate",""
"FS","Suite of Food Security Indicators","250","Democratic Republic of the Congo","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2113","F","FAO estimate",""
"FS","Suite of Food Security Indicators","54","Denmark","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2546","F","FAO estimate",""
"FS","Suite of Food Security Indicators","54","Denmark","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2550","F","FAO estimate",""
"FS","Suite of Food Security Indicators","72","Djibouti","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2402","F","FAO estimate",""
"FS","Suite of Food Security Indicators","72","Djibouti","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2411","F","FAO estimate",""
"FS","Suite of Food Security Indicators","55","Dominica","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2459","F","FAO estimate",""
"FS","Suite of Food Security Indicators","55","Dominica","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2463","F","FAO estimate",""
"FS","Suite of Food Security Indicators","56","Dominican Republic","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2382","F","FAO estimate",""
"FS","Suite of Food Security Indicators","56","Dominican Republic","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2387","F","FAO estimate",""
"FS","Suite of Food Security Indicators","58","Ecuador","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2282","F","FAO estimate",""
"FS","Suite of Food Security Indicators","58","Ecuador","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2291","F","FAO estimate",""
"FS","Suite of Food Security Indicators","59","Egypt","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2324","F","FAO estimate",""
"FS","Suite of Food Security Indicators","59","Egypt","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2313","F","FAO estimate",""
"FS","Suite of Food Security Indicators","60","El Salvador","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2270","F","FAO estimate",""
"FS","Suite of Food Security Indicators","60","El Salvador","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2280","F","FAO estimate",""
"FS","Suite of Food Security Indicators","61","Equatorial Guinea","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2296","F","FAO estimate",""
"FS","Suite of Food Security Indicators","61","Equatorial Guinea","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2312","F","FAO estimate",""
"FS","Suite of Food Security Indicators","178","Eritrea","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2181","F","FAO estimate",""
"FS","Suite of Food Security Indicators","178","Eritrea","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2207","F","FAO estimate",""
"FS","Suite of Food Security Indicators","63","Estonia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2542","F","FAO estimate",""
"FS","Suite of Food Security Indicators","63","Estonia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2540","F","FAO estimate",""
"FS","Suite of Food Security Indicators","209","Eswatini","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2255","F","FAO estimate",""
"FS","Suite of Food Security Indicators","209","Eswatini","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2280","F","FAO estimate",""
"FS","Suite of Food Security Indicators","238","Ethiopia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2189","F","FAO estimate",""
"FS","Suite of Food Security Indicators","238","Ethiopia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2215","F","FAO estimate",""
"FS","Suite of Food Security Indicators","66","Fiji","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2360","F","FAO estimate",""
"FS","Suite of Food Security Indicators","66","Fiji","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2362","F","FAO estimate",""
"FS","Suite of Food Security Indicators","67","Finland","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2546","F","FAO estimate",""
"FS","Suite of Food Security Indicators","67","Finland","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2548","F","FAO estimate",""
"FS","Suite of Food Security Indicators","68","France","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2489","F","FAO estimate",""
"FS","Suite of Food Security Indicators","68","France","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2491","F","FAO estimate",""
"FS","Suite of Food Security Indicators","70","French Polynesia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2433","F","FAO estimate",""
"FS","Suite of Food Security Indicators","70","French Polynesia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2437","F","FAO estimate",""
"FS","Suite of Food Security Indicators","74","Gabon","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2281","F","FAO estimate",""
"FS","Suite of Food Security Indicators","74","Gabon","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2273","F","FAO estimate",""
"FS","Suite of Food Security Indicators","75","Gambia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2218","F","FAO estimate",""
"FS","Suite of Food Security Indicators","75","Gambia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2224","F","FAO estimate",""
"FS","Suite of Food Security Indicators","73","Georgia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2472","F","FAO estimate",""
"FS","Suite of Food Security Indicators","73","Georgia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2456","F","FAO estimate",""
"FS","Suite of Food Security Indicators","79","Germany","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2552","F","FAO estimate",""
"FS","Suite of Food Security Indicators","79","Germany","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2541","F","FAO estimate",""
"FS","Suite of Food Security Indicators","81","Ghana","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2279","F","FAO estimate",""
